,robot_speed,robot_speed_kmh,simulation_duration,generation,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,num_risks,num_delivered,utilization_rate,delivery_rate,simulations,num_delivered_3,utilization_rate_3,delivery_rate_3,num_risks_3,unique_id_3,seed_3,requests_per_hour_3,execution_time_3,sequential_execution_time,execution_time,num_delivered_2,utilization_rate_2,delivery_rate_2,num_risks_2,unique_id_2,seed_2,requests_per_hour_2,execution_time_2,num_delivered_1,utilization_rate_1,delivery_rate_1,num_risks_1,unique_id_1,seed_1,requests_per_hour_1,execution_time_1,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,num_delivered_4,utilization_rate_4,delivery_rate_4,num_risks_4,unique_id_4,seed_4,requests_per_hour_4,execution_time_4
45,199,19.9,5,3,9,10,12,14,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,5.0,0.9455555555555555,0.1,1,5.0,0.9455555555555555,0.1,4.0,198,246004124312,50,109.12860441207886,109.12860441207886,109.1540322303772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,199,19.9,5,3,9,11,9,10,12,13,11,14,11,13,0,0,0,0,0,0,0,0,0,0,7.6,9.0,0.9293796296296295,0.18,1,9.0,0.9293796296296295,0.18,7.6,203,246004124312,50,155.2308313846588,155.2308313846588,155.24967217445374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,40,4.0,5,3,9,11,12,13,10,11,9,11,12,14,0,0,0,0,0,0,0,0,0,0,4.2,5.6,0.9823888888888888,0.112,1,5.6,0.9823888888888888,0.112,4.2,208,246004124312,50,101.46570134162903,101.46570134162903,148.44194889068604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,41,4.1,5,4,9,11,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,2.1,0.9588541666666665,0.041999999999999996,2,2.0,0.9477777777777776,0.04,1.6,183,246004124312,50,99.19835019111633,183.2303502559662,0.0010285377502441406,2.2,0.9699305555555553,0.044,1.6,182.0,558972734419.0,50.0,84.03200006484985,,,,,,,,,,,,,,,,,,,,,,,,
49,51,5.1,5,4,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.7,0.8961111111111107,0.014,2,0.6,0.895833333333333,0.012,0.6,148,246004124312,50,79.49439883232117,158.14483046531677,0.0006520748138427734,0.8,0.8963888888888885,0.016,0.4,147.0,558972734419.0,50.0,78.6504316329956,,,,,,,,,,,,,,,,,,,,,,,,
50,40,4.0,5,4,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6000000000000001,0.7,0.9368055555555552,0.014,2,0.6,0.914722222222222,0.012,0.8,213,246004124312,50,83.74099159240723,158.53119206428528,83.78706216812134,0.8,0.9588888888888886,0.016,0.4,212.0,558972734419.0,50.0,74.79020047187805,,,,,,,,,,,,,,,,,,,,,,,,
51,51,5.1,5,4,9,10,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.6,0.9557638888888886,0.032,2,1.6,0.9786111111111109,0.032,1.8,218,246004124312,50,79.91260552406311,172.46660614013672,101.53807234764099,1.6,0.9329166666666664,0.032,0.2,217.0,558972734419.0,50.0,92.55400061607361,,,,,,,,,,,,,,,,,,,,,,,,
52,200,20.0,5,4,11,13,12,14,9,10,9,10,9,11,12,14,11,13,0,0,0,0,0,0,7.0,12.0,0.9299900793650793,0.24,2,12.0,0.9236111111111109,0.24,6.2,223,246004124312,50,192.1245985031128,368.6016526222229,192.37803435325623,12.0,0.9363690476190475,0.24,7.8,222.0,558972734419.0,50.0,176.4770541191101,,,,,,,,,,,,,,,,,,,,,,,,
53,199,19.9,5,4,11,13,12,14,9,10,9,10,10,12,12,14,11,13,0,0,0,0,0,0,7.4,12.0,0.9304761904761902,0.24,2,12.0,0.9240476190476189,0.24,7.0,228,246004124312,50,189.3257942199707,360.5755252838135,189.38030362129211,12.0,0.9369047619047617,0.24,7.8,227.0,558972734419.0,50.0,171.24973106384277,,,,,,,,,,,,,,,,,,,,,,,,
54,53,5.3,5,4,9,12,9,10,12,13,10,13,0,0,0,0,0,0,0,0,0,0,0,0,5.3,6.1,0.9579166666666666,0.122,2,6.0,0.9399768518518519,0.12,5.8,233,246004124312,50,145.21910405158997,264.7912366390228,145.48332238197327,6.2,0.9758564814814814,0.124,4.8,232.0,558972734419.0,50.0,119.57213258743286,,,,,,,,,,,,,,,,,,,,,,,,
55,194,19.4,5,4,9,10,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,3.0,0.9405555555555554,0.06,2,3.0,0.9302083333333331,0.06,1.8,238,246004124312,50,94.37505745887756,177.98316526412964,94.4281997680664,3.0,0.9509027777777775,0.06,2.4,237.0,558972734419.0,50.0,83.60810780525208,,,,,,,,,,,,,,,,,,,,,,,,
56,199,19.9,5,4,11,13,12,14,9,10,9,10,11,13,12,14,11,13,0,0,0,0,0,0,9.0,12.0,0.9298015873015872,0.24,2,12.0,0.9226984126984126,0.24,9.0,28,246004124312,50,192.69849801063538,367.6592364311218,0.0008723735809326172,12.0,0.9369047619047618,0.24,9.0,27.0,558972734419.0,50.0,174.96073842048645,,,,,,,,,,,,,,,,,,,,,,,,
57,199,19.9,5,4,11,13,12,14,9,10,9,10,11,13,12,14,11,13,0,0,0,0,0,0,9.0,12.0,0.9298015873015872,0.24,2,12.0,0.9226984126984126,0.24,9.0,28,246004124312,50,192.69849801063538,367.6592364311218,0.0005950927734375,12.0,0.9369047619047618,0.24,9.0,27.0,558972734419.0,50.0,174.96073842048645,,,,,,,,,,,,,,,,,,,,,,,,
58,199,19.9,5,4,9,10,12,13,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,4.0,0.9493749999999999,0.08,2,4.0,0.9437962962962961,0.08,3.0,243,246004124312,50,100.90309715270996,197.23680686950684,104.71324276924133,4.0,0.9549537037037035,0.08,3.0,242.0,558972734419.0,50.0,96.33370971679688,,,,,,,,,,,,,,,,,,,,,,,,
59,41,4.1,5,4,9,11,9,11,9,10,10,14,0,0,0,0,0,0,0,0,0,0,0,0,6.7,6.1,0.9405902777777777,0.122,2,6.2,0.951736111111111,0.124,6.4,248,246004124312,50,149.23610377311707,326.4232807159424,177.42123699188232,6.0,0.9294444444444443,0.12,7.0,247.0,558972734419.0,50.0,177.18717694282532,,,,,,,,,,,,,,,,,,,,,,,,
60,198,19.8,5,5,11,13,12,14,9,10,9,10,9,11,12,14,11,13,0,0,0,0,0,0,8.4,12.0,0.9339285714285712,0.24,2,12.0,0.9245833333333332,0.24,6.8,253,246004124312,50,191.76528239250183,359.34847497940063,191.83344554901123,12.0,0.9432738095238093,0.24,10.0,252.0,558972734419.0,50.0,167.5831925868988,,,,,,,,,,,,,,,,,,,,,,,,
61,199,19.9,5,5,11,13,12,14,9,10,9,10,10,12,12,14,11,13,0,0,0,0,0,0,7.4,12.0,0.9304761904761902,0.24,2,12.0,0.9240476190476189,0.24,7.0,228,246004124312,50,189.3257942199707,360.5755252838135,0.0015361309051513672,12.0,0.9369047619047617,0.24,7.8,227.0,558972734419.0,50.0,171.24973106384277,,,,,,,,,,,,,,,,,,,,,,,,
62,51,5.1,5,5,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.7,0.8961111111111107,0.014,2,0.6,0.895833333333333,0.012,0.6,148,246004124312,50,79.49439883232117,158.14483046531677,0.0010826587677001953,0.8,0.8963888888888885,0.016,0.4,147.0,558972734419.0,50.0,78.6504316329956,,,,,,,,,,,,,,,,,,,,,,,,
63,51,5.1,5,5,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.7,0.8961111111111107,0.014,2,0.6,0.895833333333333,0.012,0.6,148,246004124312,50,79.49439883232117,158.14483046531677,0.001070261001586914,0.8,0.8963888888888885,0.016,0.4,147.0,558972734419.0,50.0,78.6504316329956,,,,,,,,,,,,,,,,,,,,,,,,
