,num_robots,robot_speed,robot_speed_kmh,simulation_duration,generation,num_risks,num_delivered,utilization_rate,delivery_rate,simulations,num_delivered_2,utilization_rate_2,delivery_rate_2,num_risks_2,unique_id_2,seed_2,requests_per_hour_2,execution_time_2,sequential_execution_time,execution_time,num_delivered_9,utilization_rate_9,delivery_rate_9,num_risks_9,unique_id_9,seed_9,requests_per_hour_9,execution_time_9,num_delivered_5,utilization_rate_5,delivery_rate_5,num_risks_5,unique_id_5,seed_5,requests_per_hour_5,execution_time_5,num_delivered_4,utilization_rate_4,delivery_rate_4,num_risks_4,unique_id_4,seed_4,requests_per_hour_4,execution_time_4,num_delivered_1,utilization_rate_1,delivery_rate_1,num_risks_1,unique_id_1,seed_1,requests_per_hour_1,execution_time_1,num_delivered_8,utilization_rate_8,delivery_rate_8,num_risks_8,unique_id_8,seed_8,requests_per_hour_8,execution_time_8,num_delivered_6,utilization_rate_6,delivery_rate_6,num_risks_6,unique_id_6,seed_6,requests_per_hour_6,execution_time_6,num_delivered_3,utilization_rate_3,delivery_rate_3,num_risks_3,unique_id_3,seed_3,requests_per_hour_3,execution_time_3,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0
78,1,97,9.7,12,6,3.7833333333333337,4.516666666666667,0.9852222222222222,0.045166666666666654,5,4.583333333333333,0.9785648148148148,0.04583333333333333,3.4166666666666665,262,486218438578,100,183.14152765274048,660.8138597011566,0.0005490779876708984,4.5,0.9896527777777778,0.045,4.083333333333333,269.0,995294853016.0,100.0,90.65719556808472,4.5,0.9848611111111112,0.045,3.8333333333333335,265.0,989490016919.0,100.0,136.0040786266327,4.5,0.9863888888888888,0.045,4.083333333333333,264.0,403306675110.0,100.0,125.1520483493805,4.5,0.9866435185185184,0.045,3.5,261.0,540031597186.0,100.0,125.85900950431824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,1,55,5.5,12,6,3.3833333333333337,3.7833333333333337,0.9787870370370371,0.03783333333333334,5,3.8333333333333335,0.9851620370370372,0.03833333333333333,3.1666666666666665,542,486218438578,100,140.89807271957397,953.2959921360016,242.3761067390442,3.75,0.9728703703703704,0.0375,2.9166666666666665,549.0,995294853016.0,100.0,223.7620770931244,3.75,0.9737962962962964,0.0375,4.25,545.0,989490016919.0,100.0,242.09093976020813,3.75,0.9743518518518518,0.0375,3.5833333333333335,544.0,403306675110.0,100.0,226.06020522117615,3.8333333333333335,0.9877546296296296,0.03833333333333333,3.0,541.0,540031597186.0,100.0,120.48469734191895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,2,105,10.5,12,6,7.9,9.249999999999998,0.9877731481481481,0.0925,5,9.416666666666666,0.9923726851851851,0.09416666666666666,8.083333333333334,552,486218438578,100,131.21089553833008,958.636668920517,298.82642912864685,9.166666666666666,0.9810300925925926,0.09166666666666666,8.333333333333334,559.0,995294853016.0,100.0,298.56313920021057,9.25,0.9928587962962963,0.0925,7.5,555.0,989490016919.0,100.0,121.1798484325409,9.25,0.9872453703703703,0.0925,8.083333333333334,554.0,403306675110.0,100.0,175.34359979629517,9.166666666666666,0.9853587962962963,0.09166666666666666,7.5,551.0,540031597186.0,100.0,232.33918595314026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,1,43,4.3,12,6,2.95,3.4666666666666663,0.984449074074074,0.034666666666666665,5,3.5,0.9801851851851852,0.035,2.6666666666666665,442,486218438578,100,185.91081595420837,792.8395471572876,0.0015673637390136719,3.4166666666666665,0.9832638888888888,0.034166666666666665,3.0833333333333335,449.0,995294853016.0,100.0,165.35309433937073,3.5,0.9929398148148147,0.035,3.6666666666666665,445.0,989490016919.0,100.0,91.70810985565186,3.4166666666666665,0.9805092592592592,0.034166666666666665,2.5,444.0,403306675110.0,100.0,186.47926664352417,3.5,0.9853472222222224,0.035,2.8333333333333335,441.0,540031597186.0,100.0,163.38826036453247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,1,93,9.3,12,6,3.749999999999999,4.516666666666667,0.9920000000000002,0.045166666666666654,5,4.583333333333333,0.987800925925926,0.04583333333333333,3.3333333333333335,562,486218438578,100,92.71286678314209,400.32648730278015,159.17611408233643,4.5,0.9940046296296297,0.045,3.0833333333333335,569.0,995294853016.0,100.0,72.50469970703125,4.5,0.993125,0.045,4.333333333333333,565.0,989490016919.0,100.0,71.89576387405396,4.5,0.9907870370370372,0.045,3.6666666666666665,564.0,403306675110.0,100.0,91.49775528907776,4.5,0.9942824074074074,0.045,4.333333333333333,561.0,540031597186.0,100.0,71.7154016494751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,4,123,12.3,12,6,15.01666666666667,19.116666666666667,0.984675925925926,0.19116666666666665,5,19.166666666666668,0.9806886574074074,0.19166666666666668,12.833333333333334,572,486218438578,100,496.9146361351013,2147.5596964359283,496.94935607910156,18.833333333333332,0.9831481481481481,0.18833333333333332,18.0,579.0,995294853016.0,100.0,464.8745768070221,19.25,0.9912268518518518,0.1925,14.0,575.0,989490016919.0,100.0,274.72852516174316,19.25,0.9850405092592593,0.1925,16.75,574.0,403306675110.0,100.0,418.89372396469116,19.083333333333332,0.983275462962963,0.19083333333333333,13.5,571.0,540031597186.0,100.0,492.1482343673706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,1,51,5.1,12,7,3.3472222222222228,3.75,0.9881057098765432,0.0375,6,3.75,0.9875694444444444,0.0375,2.8333333333333335,582,486218438578,100,115.29046583175659,676.8744485378265,236.53709721565247,3.6666666666666665,0.9825694444444444,0.03666666666666667,3.4166666666666665,589.0,995294853016.0,100.0,162.74868965148926,3.75,0.991550925925926,0.0375,3.3333333333333335,585.0,989490016919.0,100.0,68.08856987953186,3.75,0.9925925925925926,0.0375,3.75,584.0,403306675110.0,100.0,81.44399118423462,3.75,0.9904166666666666,0.0375,3.8333333333333335,581.0,540031597186.0,100.0,91.75192213058472,3.8333333333333335,0.9839351851851852,0.03833333333333333,2.9166666666666665,588.0,184661932729.0,100.0,157.5508098602295,,,,,,,,,,,,,,,,,,,,,,,,
85,1,125,12.5,12,7,3.6666666666666665,4.777777777777778,0.9869868827160495,0.04777777777777777,6,4.833333333333333,0.9832638888888888,0.04833333333333333,3.75,592,486218438578,100,125.21107077598572,637.9074234962463,125.39631199836731,4.75,0.9864351851851852,0.0475,3.9166666666666665,599.0,995294853016.0,100.0,106.72546911239624,4.75,0.9868055555555556,0.0475,3.1666666666666665,595.0,989490016919.0,100.0,115.0092442035675,4.75,0.9885648148148148,0.0475,4.666666666666667,594.0,403306675110.0,100.0,94.49144220352173,4.75,0.9856944444444444,0.0475,2.6666666666666665,591.0,540031597186.0,100.0,115.39664459228516,4.833333333333333,0.9911574074074074,0.04833333333333333,3.8333333333333335,598.0,184661932729.0,100.0,81.07355260848999,,,,,,,,,,,,,,,,,,,,,,,,
86,1,94,9.4,12,7,4.125,4.527777777777778,0.9901890432098766,0.04527777777777777,6,4.583333333333333,0.9853935185185184,0.04583333333333333,3.5833333333333335,602,486218438578,100,102.4293565750122,480.29927802085876,147.84895181655884,4.5,0.9914120370370372,0.045,3.8333333333333335,609.0,995294853016.0,100.0,68.6114673614502,4.5,0.9922685185185184,0.045,4.916666666666667,605.0,989490016919.0,100.0,78.00613117218018,4.5,0.988148148148148,0.045,4.0,604.0,403306675110.0,100.0,102.20244598388672,4.5,0.9917361111111112,0.045,4.5,601.0,540031597186.0,100.0,68.89968800544739,4.583333333333333,0.992175925925926,0.04583333333333333,3.9166666666666665,608.0,184661932729.0,100.0,60.15018892288208,,,,,,,,,,,,,,,,,,,,,,,,
87,1,45,4.5,12,7,2.9444444444444446,3.5694444444444446,0.9876736111111111,0.03569444444444445,6,3.5833333333333335,0.9900694444444444,0.035833333333333335,2.8333333333333335,612,486218438578,100,100.92223262786865,767.8407037258148,177.32688760757446,3.5,0.9827083333333332,0.035,2.75,619.0,995294853016.0,100.0,165.34950923919678,3.5833333333333335,0.993287037037037,0.035833333333333335,3.9166666666666665,615.0,989490016919.0,100.0,79.2974317073822,3.5,0.982476851851852,0.035,3.25,614.0,403306675110.0,100.0,177.27099299430847,3.5833333333333335,0.9927314814814816,0.035833333333333335,2.3333333333333335,611.0,540031597186.0,100.0,78.68191480636597,3.6666666666666665,0.9847685185185184,0.03666666666666667,2.5833333333333335,618.0,184661932729.0,100.0,166.31862235069275,,,,,,,,,,,,,,,,,,,,,,,,
