,num_robots,robot_speed,robot_speed_kmh,simulation_duration,generation,num_risks,num_delivered,utilization_rate,delivery_rate,simulations,num_delivered_3,utilization_rate_3,delivery_rate_3,num_risks_3,unique_id_3,seed_3,requests_per_hour_3,execution_time_3,sequential_execution_time,execution_time,num_delivered_1,utilization_rate_1,delivery_rate_1,num_risks_1,unique_id_1,seed_1,requests_per_hour_1,execution_time_1,num_delivered_2,utilization_rate_2,delivery_rate_2,num_risks_2,unique_id_2,seed_2,requests_per_hour_2,execution_time_2,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,num_delivered_4,utilization_rate_4,delivery_rate_4,num_risks_4,unique_id_4,seed_4,requests_per_hour_4,execution_time_4
46,1,99,9.9,5,3,5.6,4.6,0.9934444444444444,0.046,1,4.6,0.9934444444444444,0.046,5.6,173,824477712049,100,30.618930339813232,30.618930339813232,69.87820625305176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1,39,3.9,5,3,2.8,3.2,0.9630555555555556,0.032,1,3.2,0.9630555555555556,0.032,2.8,178,824477712049,100,80.37254524230957,80.37254524230957,80.40006184577942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1,97,9.7,5,4,4.0,4.4,0.9576666666666668,0.044,1,4.4,0.9576666666666668,0.044,4.0,123,824477712049,100,78.4564905166626,78.4564905166626,0.0013670921325683594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1,38,3.8,5,4,3.2,3.2,0.9741666666666666,0.032,1,3.2,0.9741666666666666,0.032,3.2,68,824477712049,100,60.56431698799133,60.56431698799133,0.0009508132934570312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1,38,3.8,5,4,3.2,3.2,0.9741666666666666,0.032,1,3.2,0.9741666666666666,0.032,3.2,68,824477712049,100,60.56431698799133,60.56431698799133,0.0009160041809082031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1,97,9.7,5,4,4.0,4.4,0.9576666666666668,0.044,1,4.4,0.9576666666666668,0.044,4.0,123,824477712049,100,78.4564905166626,78.4564905166626,0.0009410381317138672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1,96,9.6,5,4,3.2,4.4,0.96,0.044,1,4.4,0.96,0.044,3.2,8,824477712049,100,76.13293671607971,76.13293671607971,0.0005908012390136719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1,111,11.1,5,4,4.4,4.6,0.9689444444444444,0.046,1,4.6,0.9689444444444444,0.046,4.4,183,824477712049,100,61.67717719078064,61.67717719078064,70.63738751411438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1,96,9.6,5,4,3.2,4.4,0.96,0.044,1,4.4,0.96,0.044,3.2,8,824477712049,100,76.13293671607971,76.13293671607971,0.0014760494232177734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1,96,9.6,5,4,3.2,4.4,0.96,0.044,1,4.4,0.96,0.044,3.2,8,824477712049,100,76.13293671607971,76.13293671607971,0.0010831356048583984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1,40,4.0,5,4,3.2,3.4,0.9856111111111112,0.034,1,3.4,0.9856111111111112,0.034,3.2,133,824477712049,100,43.31715130805969,43.31715130805969,0.0011909008026123047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1,142,14.2,5,4,6.8,4.8,0.9584444444444444,0.048,1,4.8,0.9584444444444444,0.048,6.8,153,824477712049,100,68.78136968612671,68.78136968612671,0.0014081001281738281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1,91,9.1,5,4,5.2,4.4,0.9721666666666666,0.044,1,4.4,0.9721666666666666,0.044,5.2,188,824477712049,100,58.19273328781128,58.19273328781128,80.21501326560974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1,96,9.6,5,4,3.2,4.4,0.96,0.044,1,4.4,0.96,0.044,3.2,8,824477712049,100,76.13293671607971,76.13293671607971,0.0012011528015136719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1,39,3.9,5,5,2.8,3.2,0.9630555555555556,0.032,1,3.2,0.9630555555555556,0.032,2.8,178,824477712049,100,80.37254524230957,80.37254524230957,0.0009646415710449219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1,33,3.3,5,5,3.0,3.0,0.9692222222222222,0.03,1,3.0,0.9692222222222222,0.03,3.0,143,824477712049,100,73.1416826248169,73.1416826248169,0.0009052753448486328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1,92,9.2,5,5,3.8,4.4,0.9698333333333332,0.044,1,4.4,0.9698333333333332,0.044,3.8,193,824477712049,100,59.10433220863342,59.10433220863342,59.323904037475586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,2,96,9.6,5,5,7.4,9.0,0.9921111111111109,0.09,1,9.0,0.9921111111111109,0.09,7.4,198,824477712049,100,49.6236355304718,49.6236355304718,106.1939537525177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1,98,9.8,5,5,4.6,4.4,0.9555,0.044,1,4.4,0.9555,0.044,4.6,203,824477712049,100,77.21952724456787,77.21952724456787,77.26034092903137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1,39,3.9,5,5,2.8,3.2,0.9630555555555556,0.032,1,3.2,0.9630555555555556,0.032,2.8,178,824477712049,100,80.37254524230957,80.37254524230957,0.0013573169708251953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1,38,3.8,5,5,3.2,3.2,0.9741666666666666,0.032,1,3.2,0.9741666666666666,0.032,3.2,68,824477712049,100,60.56431698799133,60.56431698799133,0.0010063648223876953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1,99,9.9,5,5,5.6,4.6,0.9934444444444444,0.046,1,4.6,0.9934444444444444,0.046,5.6,173,824477712049,100,30.618930339813232,30.618930339813232,0.0009136199951171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1,95,9.5,5,5,4.6,4.4,0.9624444444444444,0.044,1,4.4,0.9624444444444444,0.044,4.6,208,824477712049,100,78.4868495464325,78.4868495464325,78.51164841651917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,1,30,3.0,5,5,3.6,3.0,0.9828333333333332,0.03,1,3.0,0.9828333333333332,0.03,3.6,213,824477712049,100,47.26239228248596,47.26239228248596,92.65275359153748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1,39,3.9,5,5,2.8,3.2,0.9630555555555556,0.032,1,3.2,0.9630555555555556,0.032,2.8,178,824477712049,100,80.37254524230957,80.37254524230957,0.0013461112976074219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,1,59,5.9,5,5,3.2,3.8,0.9672222222222222,0.038,1,3.8,0.9672222222222222,0.038,3.2,218,824477712049,100,71.8823812007904,71.8823812007904,76.0090708732605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1,38,3.8,5,6,2.9000000000000004,3.2,0.9814166666666667,0.032,2,3.2,0.9741666666666666,0.032,3.2,68,824477712049,100,60.56431698799133,107.87741160392761,0.0013692378997802734,3.2,0.9886666666666668,0.032,2.6,66.0,159948434715.0,100.0,47.31309461593628,,,,,,,,,,,,,,,,,,,,,,,,
73,1,41,4.1,5,6,3.5,3.3,0.9704722222222223,0.033,2,3.4,0.9753333333333334,0.034,4.6,168,824477712049,100,61.15519881248474,136.9369170665741,0.0009932518005371094,3.2,0.9656111111111112,0.032,2.4,166.0,159948434715.0,100.0,75.78171825408936,,,,,,,,,,,,,,,,,,,,,,,,
74,1,98,9.8,5,6,4.9,4.4,0.9685555555555556,0.044,2,4.4,0.9555,0.044,4.6,203,824477712049,100,77.21952724456787,127.19832634925842,0.0009813308715820312,4.4,0.9816111111111112,0.044,5.2,201.0,159948434715.0,100.0,49.97879910469055,,,,,,,,,,,,,,,,,,,,,,,,
75,1,33,3.3,5,6,2.8,3.0,0.9817777777777776,0.03,2,3.0,0.9692222222222222,0.03,3.0,143,824477712049,100,73.1416826248169,112.12535119056702,0.00095367431640625,3.0,0.9943333333333332,0.03,2.6,141.0,159948434715.0,100.0,38.98366856575012,,,,,,,,,,,,,,,,,,,,,,,,
76,2,53,5.3,5,6,6.300000000000001,7.5,0.9819722222222222,0.075,2,7.6,0.983888888888889,0.076,7.2,223,824477712049,100,75.91265821456909,160.07307147979736,134.48993754386902,7.4,0.9800555555555555,0.074,5.4,221.0,159948434715.0,100.0,84.16041326522827,,,,,,,,,,,,,,,,,,,,,,,,
77,1,96,9.6,5,6,4.1,4.4,0.9734166666666666,0.044,2,4.4,0.96,0.044,3.2,8,824477712049,100,76.13293671607971,120.65370559692383,0.0014128684997558594,4.4,0.9868333333333332,0.044,5.0,6.0,159948434715.0,100.0,44.520768880844116,,,,,,,,,,,,,,,,,,,,,,,,
78,1,93,9.3,5,6,4.1,4.4,0.9781111111111112,0.044,2,4.4,0.9671666666666666,0.044,5.2,228,824477712049,100,69.86721014976501,104.8661789894104,70.09985113143921,4.4,0.9890555555555556,0.044,3.0,226.0,159948434715.0,100.0,34.998968839645386,,,,,,,,,,,,,,,,,,,,,,,,
79,1,39,3.9,5,6,3.3,3.2,0.9753888888888889,0.032,2,3.2,0.9630555555555556,0.032,2.8,178,824477712049,100,80.37254524230957,127.72111654281616,0.001371145248413086,3.2,0.9877222222222222,0.032,3.8,176.0,159948434715.0,100.0,47.34857130050659,,,,,,,,,,,,,,,,,,,,,,,,
80,1,33,3.3,5,6,2.8,3.0,0.9817777777777776,0.03,2,3.0,0.9692222222222222,0.03,3.0,143,824477712049,100,73.1416826248169,112.12535119056702,0.0010380744934082031,3.0,0.9943333333333332,0.03,2.6,141.0,159948434715.0,100.0,38.98366856575012,,,,,,,,,,,,,,,,,,,,,,,,
81,1,97,9.7,5,6,4.7,4.4,0.9709444444444445,0.044,2,4.4,0.9576666666666668,0.044,4.0,123,824477712049,100,78.4564905166626,129.8072431087494,0.0009751319885253906,4.4,0.9842222222222222,0.044,5.4,121.0,159948434715.0,100.0,51.35075259208679,,,,,,,,,,,,,,,,,,,,,,,,
82,1,39,3.9,5,6,3.3,3.2,0.9753888888888889,0.032,2,3.2,0.9630555555555556,0.032,2.8,178,824477712049,100,80.37254524230957,127.72111654281616,0.0009560585021972656,3.2,0.9877222222222222,0.032,3.8,176.0,159948434715.0,100.0,47.34857130050659,,,,,,,,,,,,,,,,,,,,,,,,
